# EPIC structured flight events for epic_2026-07-03-11-21-46.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045305.987
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045334.184][    +14.0s][EXEC_TRAJ] STATE PLAN_TRAJ_RTH -> EXEC_TRAJ [PLAN_TRAJ_RTH: plan success]
[1783045334.372][    +14.2s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.8m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.8m goal=(-0.0, -0.0, 1.2) t=7ms
[1783045334.373][    +14.2s][PLAN_TRAJ_RTH] STATE EXEC_TRAJ -> PLAN_TRAJ_RTH [planGoalPath: succeed]
[1783045334.373][    +14.2s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.79m tol=0.20m goal=(-0.02, -0.00, 1.20) (x1)
[1783045334.435][    +14.3s][EXEC_TRAJ] BATT 23.0V | v=23.35V pct=66%
[1783045335.023][    +14.9s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.6m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.6m goal=(-0.0, -0.0, 1.2) t=7ms
[1783045335.023][    +14.9s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.55m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045335.704][    +15.6s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.5m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.5m goal=(-0.0, -0.0, 1.2) t=10ms
[1783045335.705][    +15.6s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.46m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045336.349][    +16.2s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.4m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.4m goal=(-0.0, -0.0, 1.2) t=8ms
