# EPIC structured flight events for epic_2026-07-03-11-23-16.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045395.382
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045421.648][    +17.3s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 2.7m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/2.7m goal=(0.0, 0.0, 1.2) t=2ms (prev cycle x2/2.7s)
[1783045421.648][    +17.3s][PLAN_TRAJ_RTH] STATE EXEC_TRAJ -> PLAN_TRAJ_RTH [planGoalPath: succeed]
[1783045421.648][    +17.3s][PLAN_TRAJ_RTH] RTH d2goal=2.5m | auto-home(xy) dist=2.65m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045422.255][    +17.9s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 2.6m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/2.6m goal=(0.0, 0.0, 1.2) t=3ms
[1783045422.255][    +17.9s][PLAN_TRAJ_RTH] RTH d2goal=2.5m | auto-home(xy) dist=2.60m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045422.402][    +18.1s][EXEC_TRAJ] BATT 23.0V | v=23.33V pct=61%
[1783045422.868][    +18.5s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 2.5m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/2.5m goal=(0.0, 0.0, 1.2) t=2ms
[1783045422.869][    +18.5s][PLAN_TRAJ_RTH] RTH d2goal=2.5m | auto-home(xy) dist=2.52m tol=0.20m goal=(0.04, 0.01, 1.20)
[1783045423.488][    +19.2s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 2.4m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/2.4m goal=(0.0, 0.0, 1.2) t=5ms
[1783045424.097][    +19.8s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 2.2m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/2.2m goal=(0.0, 0.0, 1.2) t=4ms
