# EPIC structured flight events for epic_2026-07-02-19-31-32.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1782988291.234
# box | down=[-150, -150, 0.5] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=1.0 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.61
# frontier | cell=0.40 cluster_sz=[1.0, 5.0] minpts=5 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=4 local_tsp=12
# fsm | takeoff_h=1.10 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1782988319.031][    +15.5s][FINISH] STATE FINISH -> FINISH [planGlobalPath: no frontier]
[1782988319.450][    +15.9s][FINISH] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=3, reachable_clusters=0) pipe[tot=3 dorm=1 unreach=0 cons=2 nocand=0 topo=2 novis=0 ok=0] | clusters=3(reach 0) vp=0(reach 0) pipe[tot=3 dorm=1 unreach=0 cons=2 nocand=0 topo=2 novis=0 ok=0] tour=2n/6.4m goal=(5.3, 4.3, 0.5) t=7ms (prev x1/0.2s)
[1782988319.661][    +16.2s][FINISH] GLOBAL result=NO_VIEWPOINTS | why: NO_FRONTIER: 0 viewpoints (clusters=1, reachable_clusters=0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/6.4m goal=(5.3, 4.3, 0.5) t=10ms
[1782988319.816][    +16.3s][PLAN_TRAJ_RTH] STATE FINISH -> PLAN_TRAJ_RTH [FINISH: hover done -> return home] |  (prev x3/0.6s)
[1782988319.826][    +16.3s][PLAN_TRAJ_RTH] RTH d2goal=2.5m | auto-home(xy) dist=2.93m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988319.859][    +16.4s][PLAN_TRAJ_RTH] LOCAL RTH OK | t=33.4ms
[1782988319.860][    +16.4s][EXEC_TRAJ] STATE PLAN_TRAJ_RTH -> EXEC_TRAJ [PLAN_TRAJ_RTH: plan success]
[1782988320.538][    +17.0s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 3.0m (connected via 2) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=1 dorm=0 unreach=0 cons=1 nocand=0 topo=1 novis=0 ok=0] tour=2n/3.0m goal=(-0.0, -0.0, 1.1) t=20ms
[1782988320.538][    +17.0s][PLAN_TRAJ_RTH] STATE EXEC_TRAJ -> PLAN_TRAJ_RTH [planGoalPath: succeed]
[1782988320.539][    +17.0s][PLAN_TRAJ_RTH] RTH d2goal=2.5m | auto-home(xy) dist=3.00m tol=0.20m goal=(-0.04, -0.04, 1.10)
