# EPIC structured flight events for epic_2026-07-08-23-59-06.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783522745.874
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateRadiusSoft=0.60 DilateRadiusHard=0.45 MaxCorridorSize=4.0 MaxVelMag=0.9 max_traj_len=10.0 astar_safe_distance=0.65 bubble_min_radius=0.50
# frontier | cell_size=0.20 cluster_size=[0.5, 7.0] cluster_min_points=4 candidate_dphi=0.26 candidate_znum=3 good_observation_dir_score=0.80
# viewpoint | pillar_radius=[0.5, 2.0]x8 pillar_height=[-1.0, 1.0]x5 circle_samples=8 min_obstacle_clearance=0.65 local_tsp_size=10
# fsm | takeoff_height=1.20 goal_tolerance=0.20 replan_time=0.20 emergency_replan_error=3.0 local_plan_max_hz=30 avoid_flag_timeout=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance_enabled=1
# topics | odom=/Odometry cloud=/cloud_registered_cropped (cropped)
[1783523624.286][   +878.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x4065 over 877.4s
[1783523654.386][   +908.5s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x4201 over 907.5s
[1783523684.387][   +938.5s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x4349 over 937.5s
[1783523717.935][   +972.1s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x4479 over 971.1s
[1783523748.234][  +1002.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x4619 over 1001.4s
[1783523778.235][  +1032.4s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x4751 over 1031.4s
[1783523808.328][  +1062.5s][WAIT_TRIGGER] Avoidance: Deactivated  <->  Activated | cycling x4901 over 1061.5s
[1783523838.378][  +1092.5s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x5046 over 1091.5s
[1783523868.378][  +1122.5s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x5178 over 1121.5s
[1783523898.382][  +1152.5s][WAIT_TRIGGER] Avoidance: Activated  <->  Deactivated | cycling x5320 over 1151.5s
